country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","28-09-2025 17:00:00",22.969611,72.643500,SO2,7,12,10
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","28-09-2025 17:00:00",23.020509,72.579261,PM2.5,29,69,49
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","28-09-2025 17:00:00",23.020509,72.579261,NO2,22,76,40
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","28-09-2025 17:00:00",23.020509,72.579261,SO2,8,28,14
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","28-09-2025 17:00:00",28.6701,76.9254,CO,46,51,48
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","28-09-2025 17:00:00",28.531346,77.190156,SO2,2,5,3
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-09-2025 17:00:00",28.6514781,77.1473105,NH3,7,9,8
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","28-09-2025 17:00:00",30.943887,76.801991,CO,44,59,53
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","28-09-2025 17:00:00",34.066206,74.819820,PM2.5,33,71,54
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","28-09-2025 17:00:00",34.066206,74.819820,CO,12,19,13
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","28-09-2025 17:00:00",23.80569,86.44268,PM2.5,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","28-09-2025 17:00:00",23.80569,86.44268,SO2,13,106,34
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","28-09-2025 17:00:00",23.80569,86.44268,CO,1,96,57
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","28-09-2025 17:00:00",16.172806,75.659694,PM10,42,43,42
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","28-09-2025 17:00:00",12.951913,77.539784,SO2,2,5,3
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","28-09-2025 17:00:00",28.376058,77.315741,CO,48,52,50
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","28-09-2025 17:00:00",28.060249,76.113115,PM10,21,81,48
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","28-09-2025 17:00:00",28.3153,76.9143,PM2.5,19,130,62
